Psens,RI,att,c,inATT,minNodeActivity,rrp2rest,sens,sensG,sensNode,sensSG,surviveTime
0.5,0.2,0.1,0.01,3.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0
0.5,0.2,0.1,0.01,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.1,0.01,5.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.1,0.01,9.0,0.0,9.0,1.0,1.0,7.0,2.0,13.0
0.5,0.2,0.1,0.01,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.5,0.2,0.1,0.01,2.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0
0.5,0.2,0.1,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.1,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.1,0.01,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.3,0.01,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.3,0.01,6.0,0.0,6.0,3.0,1.0,5.0,2.0,13.0
0.5,0.2,0.3,0.01,11.0,0.0,11.0,1.0,1.0,7.0,2.0,13.0
0.5,0.2,0.3,0.01,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.3,0.01,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.3,0.01,2.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0
0.5,0.2,0.3,0.01,4.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.3,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.3,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.3,0.01,4.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.5,0.01,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0
0.5,0.2,0.5,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.5,0.01,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.5,0.01,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.5,0.01,4.0,0.0,4.0,1.0,0.0,0.0,0.0,6.0
0.5,0.2,0.5,0.01,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.5,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.5,0.01,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0
0.5,0.2,0.5,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.5,0.01,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.7,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.5,0.2,0.7,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.5,0.2,0.7,0.01,2.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0
0.5,0.2,0.7,0.01,4.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.7,0.01,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.7,0.01,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.7,0.01,5.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.7,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.7,0.01,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0
0.5,0.2,0.7,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
0.5,0.2,0.8,0.01,3.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0
