0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98,1.0,1.02,1.04,1.06,1.08,1.1,1.12,1.14,1.16,1.18,1.2,1.22,1.24,1.26,1.28,1.3,1.32,1.34,1.36,1.38,1.4,1.42,1.44,1.46,1.48,1.5,1.52,1.54,1.56,1.58,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6
4,4,4,4,4,4,4,4,7,4,7,7,4,4,7,7,5,4,7,7,7,4,7,7,4,7,4,4,4,20,None,7,7,7,5,4,7,None,None,None,None,None,7,None,5,8,None,None,7,7,None,13,None,None,None,8,None,None,None,None,None,7,7,None,None,None,None,None,None,None,None
4,4,4,4,4,4,4,5,4,4,4,7,4,4,7,7,10,7,7,10,4,5,7,7,8,7,13,None,7,10,None,10,8,10,8,10,None,7,10,19,7,None,None,None,None,None,None,7,None,None,None,None,None,None,None,None,None,None,7,None,None,None,None,None,None,None,None,None,4,None,None
4,4,4,4,4,4,4,4,4,7,4,7,7,7,7,4,8,10,7,7,7,7,4,4,7,7,8,13,7,7,7,7,7,7,8,7,13,8,7,13,4,13,None,None,7,13,10,7,None,8,7,None,None,10,7,11,None,None,None,7,8,None,None,7,None,None,None,None,None,None,None
4,4,4,4,4,4,4,7,4,5,7,4,7,7,4,4,4,4,7,7,8,5,8,7,4,8,7,20,7,17,4,10,4,13,7,7,7,None,7,None,13,7,None,None,8,8,4,None,10,None,None,None,None,7,None,7,None,10,None,None,13,None,None,None,None,None,None,None,None,None,None
4,4,4,4,4,4,7,4,7,7,7,7,4,4,4,8,4,5,7,7,10,7,7,4,3,None,7,7,None,10,4,7,None,13,8,10,7,7,7,13,5,None,None,None,7,None,4,None,None,None,None,4,None,7,None,7,None,11,None,None,7,10,None,None,None,None,10,None,None,None,None
4,4,4,4,7,4,5,4,7,4,7,7,4,7,7,7,7,4,8,10,8,8,13,None,7,7,7,19,10,10,4,None,7,7,8,8,7,7,7,None,7,None,None,None,4,None,None,None,7,7,4,None,None,None,None,None,8,None,None,10,None,None,None,None,None,None,None,None,None,None,None
4,4,4,4,4,4,5,7,4,4,7,5,4,4,7,4,10,7,7,7,7,7,8,7,7,None,7,13,19,5,13,17,None,4,7,10,7,5,13,4,7,None,None,7,7,8,8,None,10,7,11,7,None,None,8,None,None,7,None,None,None,None,None,None,None,None,None,None,None,None,None
4,4,4,4,4,4,4,4,4,7,7,7,7,4,10,7,5,4,10,4,8,13,8,10,7,8,7,10,7,7,None,7,13,7,10,7,14,None,7,7,None,8,None,7,None,7,4,None,None,7,None,7,None,None,8,None,7,None,None,None,7,None,None,None,None,None,None,None,None,None,None
4,4,4,4,4,4,4,4,7,7,4,4,4,7,4,7,4,7,7,7,7,10,7,7,None,4,None,13,5,8,13,19,None,7,None,7,None,7,7,7,None,None,7,10,4,5,4,4,None,7,4,None,7,7,7,None,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None
